time,temperature,volte
2673.5,36.37695313,3.5
2674,36.37084961,3.5
2674.5,36.36779785,3.5
2675,36.36474609,3.5
2675.5,36.59057617,3.5
2676,36.65771484,3.5
2676.5,36.66687012,3.5
2677,36.63330078,3.5
2677.5,36.63330078,3.5
2678,36.47766113,3.5
2678.5,36.4654541,3.5
2679,36.46240234,3.5
2679.5,36.46240234,3.5
2680,36.54174805,3.5
2680.5,36.57226563,3.5
2681,36.57531738,3.5
2681.5,36.56921387,3.5
2682,36.48071289,3.5
2682.5,36.4654541,3.5
2683,36.47155762,3.5
2683.5,36.6027832,3.5
2684,36.66381836,3.5
2684.5,36.66687012,3.5
2685,36.66381836,3.5
2685.5,36.66992188,3.5
2686,36.66687012,3.5
2686.5,36.66381836,3.5
2687,36.66687012,3.5
2687.5,36.72790527,3.5
2688,36.76757813,3.5
2688.5,36.7767334,3.5
2689,36.7767334,3.5
2689.5,36.7767334,3.5
2690,36.7767334,3.5
2690.5,36.77978516,3.5
2691,36.77978516,3.5
2691.5,36.77978516,3.5
2692,36.7767334,3.5
2692.5,36.77062988,3.5
2693,36.76757813,3.5
2693.5,36.76757813,3.5
2694,36.76452637,3.5
2694.5,36.77062988,3.5
2695,36.7767334,3.5
2695.5,36.77978516,3.5
2696,36.77978516,3.5
2696.5,36.7767334,3.5
2697,36.77062988,3.5
2697.5,36.85913086,3.5
2698,36.87133789,3.5
2698.5,36.87133789,3.5
2699,36.87438965,3.5
2699.5,36.83166504,3.5
2700,36.78283691,3.5
2700.5,36.77062988,3.5
2701,36.76757813,3.5
2701.5,36.76757813,3.5
2702,36.76452637,3.5
2702.5,36.76757813,3.5
2703,36.76757813,3.5
2703.5,36.80419922,3.5
2704,36.86828613,3.5
2704.5,36.86218262,3.5
2705,36.86828613,3.5
2705.5,36.87133789,3.5
2706,36.87438965,3.5
2706.5,36.87438965,3.5
2707,36.82250977,3.5
2707.5,36.68212891,3.5
2708,36.67602539,3.5
2708.5,36.66992188,3.5
2709,36.66381836,3.5
2709.5,36.67297363,3.5
2710,36.67297363,3.5
2710.5,36.66992188,3.5
2711,36.66992188,3.5
2711.5,36.66687012,3.5
2712,36.66687012,3.5
2712.5,36.66687012,3.5
2713,36.66687012,3.5
2713.5,36.66992188,3.5
2714,36.66687012,3.5
2714.5,36.66992188,3.5
2715,36.66992188,3.5
2715.5,36.67602539,3.5
2716,36.67602539,3.5
2716.5,36.67602539,3.5
2717,36.67602539,3.5
2717.5,36.66992188,3.5
2718,36.66687012,3.5
2718.5,36.66687012,3.5
2719,36.66381836,3.5
2719.5,36.66381836,3.5
2720,36.66687012,3.5
2720.5,36.66687012,3.5
2721,36.66381836,3.5
2721.5,36.66687012,3.5
2722,36.66992188,3.5
2722.5,36.67297363,3.5
2723,36.67602539,3.5
2723.5,36.67297363,3.5
2724,36.7767334,3.5
2724.5,36.7767334,3.5
2725,36.7767334,3.5
2725.5,36.72790527,3.5
2726,36.67297363,3.5
2726.5,36.66992188,3.5
2727,36.66687012,3.5
2727.5,36.67602539,3.5
2728,36.67602539,3.5
2728.5,36.67297363,3.5
2729,36.66992188,3.5
2729.5,36.66687012,3.5
2730,36.66687012,3.5
2730.5,36.66687012,3.5
2731,36.66687012,3.5
2731.5,36.66992188,3.5
2732,36.66687012,3.5
2732.5,36.66687012,3.5
2733,36.66992188,3.5
2733.5,36.70654297,3.5
2734,36.7767334,3.5
2734.5,36.77978516,3.5
2735,36.77978516,3.5
2735.5,36.69433594,3.5
2736,36.67602539,3.5
2736.5,36.66687012,3.5
2737,36.67297363,3.5
2737.5,36.67602539,3.5
2738,36.67602539,3.5
2738.5,36.67602539,3.5
2739,36.67297363,3.5
2739.5,36.81640625,3.5
2740,36.85913086,3.5
2740.5,36.85913086,3.5
2741,36.86218262,3.5
2741.5,36.86218262,3.5
2742,36.86828613,3.5
2742.5,36.87133789,3.5
2743,36.86218262,3.5
2743.5,36.86218262,3.5
2744,37.01171875,3.5
2744.5,37.07885742,3.5
2745,37.07885742,3.5
2745.5,37.07885742,3.5
2746,37.07580566,3.5
2746.5,37.07885742,3.5
2747,37.07885742,3.5
2747.5,37.07580566,3.5
2748,37.1673584,3.5
2748.5,37.16125488,3.5
2749,37.16125488,3.5
2749.5,37.16125488,3.5
2750,37.16125488,3.5
2750.5,37.15820313,3.5
2751,37.1673584,3.5
2751.5,37.17041016,3.5
2752,37.17041016,3.5
2752.5,37.17651367,3.5
2753,37.17346191,3.5
2753.5,37.17346191,3.5
2754,37.17346191,3.5
2754.5,37.17041016,3.5
2755,37.17346191,3.5
2755.5,37.17346191,3.5
2756,37.17346191,3.5
2756.5,37.17346191,3.5
2757,37.17041016,3.5
2757.5,37.09411621,3.5
2758,37.07580566,3.5
2758.5,37.07580566,3.5
2759,37.07580566,3.5
2759.5,37.12463379,3.5
2760,37.17041016,3.5
2760.5,37.17041016,3.5
2761,37.1673584,3.5
2761.5,37.16125488,3.5
2762,37.16125488,3.5
2762.5,37.16125488,3.5
2763,37.1673584,3.5
2763.5,37.16125488,3.5
2764,37.16125488,3.5
2764.5,37.15820313,3.5
2765,37.16125488,3.5
2765.5,37.08496094,3.5
2766,37.07275391,3.5
2766.5,37.06359863,3.5
2767,37.06359863,3.5
2767.5,37.09716797,3.5
2768,37.1673584,3.5
2768.5,37.17041016,3.5
2769,37.17346191,3.5
2769.5,37.09716797,3.5
2770,37.07885742,3.5
2770.5,37.07885742,3.5
2771,37.08496094,3.5
2771.5,37.15820313,3.5
2772,37.1673584,3.5
2772.5,37.17346191,3.5
2773,37.17346191,3.5
2773.5,37.17041016,3.5
2774,37.1673584,3.5
2774.5,37.16125488,3.5
2775,37.17346191,3.5
2775.5,37.25585938,3.5
2776,37.25585938,3.5
2776.5,37.26806641,3.5
2777,37.26806641,3.5
2777.5,37.27111816,3.5
2778,37.11853027,3.5
2778.5,37.06665039,3.5
2779,37.07275391,3.5
2779.5,37.07580566,3.5
2780,37.07885742,3.5
2780.5,37.08190918,3.5
2781,37.08190918,3.5
2781.5,37.07885742,3.5
2782,37.17346191,3.5
2782.5,37.17346191,3.5
2783,37.17346191,3.5
2783.5,37.16125488,3.5
2784,37.08190918,3.5
2784.5,37.07885742,3.5
2785,37.07885742,3.5
2785.5,37.07580566,3.5
2786,37.07275391,3.5
2786.5,37.06665039,3.5
2787,37.06665039,3.5
2787.5,37.06665039,3.5
2788,37.15515137,3.5
2788.5,37.16125488,3.5
2789,37.1673584,3.5
2789.5,37.1673584,3.5
2790,37.17041016,3.5
2790.5,37.17041016,3.5
2791,37.17346191,3.5
2791.5,37.17346191,3.5
2792,37.17346191,3.5
2792.5,37.17041016,3.5
2793,37.1673584,3.5
2793.5,37.11242676,3.5
2794,37.06665039,3.5
2794.5,37.06359863,3.5
2795,37.07275391,3.5
2795.5,37.07275391,3.5
2796,37.07580566,3.5
2796.5,37.07885742,3.5
2797,37.07275391,3.5
2797.5,37.07885742,3.5
2798,37.08190918,3.5
2798.5,37.07885742,3.5
2799,37.07580566,3.5
2799.5,37.07275391,3.5
2800,37.06665039,3.5
2800.5,37.06359863,3.5
2801,37.06665039,3.5
2801.5,37.07275391,3.5
2802,37.07580566,3.5
2802.5,37.07275391,3.5
2803,37.06665039,3.5
2803.5,37.2253418,3.5
2804,37.26196289,3.5
2804.5,37.26501465,3.5
2805,37.24975586,3.5
2805.5,37.17956543,3.5
2806,37.17651367,3.5
2806.5,37.17651367,3.5
2807,37.16125488,3.5
2807.5,37.31994629,3.5
2808,37.35656738,3.5
2808.5,37.35961914,3.5
2809,37.3626709,3.5
2809.5,37.3626709,3.5
2810,37.36572266,3.5
2810.5,37.37182617,3.5
